Pays,Année,code_pays,Croiss_PIB/pers/an(%),Frais_prop_intellectuelle_$,Com_informatique(%),Impor_de_biens_$,Importations_biens_services_$,services_dImportations_$,Services de voyage(%),Invest_étranger_direct_$,Import_biens_services_et_rev_ primaires_$,Services_transport(%),Impor_biens_services_croiss_an(%),Encours_dette_extérieure(% du RNB),Dép_éducation(% du RNB) ,Consommation de capital fixe (% du RNB),Taux_scolarisation_primaire(% ), Enfants_non_scolarisés(% garçons),Import_energie(%),Terres_agricoles(km²)Pop Urbaine,Émission_CO2_résidentiels_ et_services_commerciaux(%),Pop_agglo_urb(+1 million/hab),Densi_pop(hab/km²),pop_grande_ville(%),Croiss_pop_urb/an(%),Pop_urb,Ratio_réserves_liquidités_bancaires(%),Taux_intérêt_dépôts(%),Inflation_prix_conso(%/an),Distri_auto_(DAB/100ml),Risk_décès_maternel(%),Abo_bande_fixe, Abo_tél_fixe, Expo_hi_tech(%prod_manuf),Trans_aérien_fret(millions de tonnes-km) ,Indice_connec_trans_maritimes,Lignes_ferroviaires(km_total), Revenus_détenus_20%,Impor_services_commerciaux($),Impor_prod_alimentaires(%impor_marchandises),Commerce_marchandises(%_PIB),Dette_administration_total(%_PIB),Salariés_total(%),Travailleurs_indé(%),Pop_réfugiée,Chômage_éduc_sup(%_femmes) ,jeunes_sans_études_emploi(%)
Greenland,2009,GRL,0.874906570700134,..,..,..,..,..,..,..,..,..,-9.39844798412976,..,..,..,..,..,..,2425,..,..,0.137222560604215,..,0.34688473380775,47360,..,..,..,..,..,12540,22040,1.63644415477161,..,..,..,..,..,22.1894458786805,43.5582018462264,..,..,..,..,..,..
Hungary,2009,HUN,-6.45067015776793,1981316302.18137,46.2249161002221,75641814367.8,92762986771.1401,17121172403.3401,16.0632026660725,-972285892.537609,117117161359.295,16.9019065625465,-14.1867900071125,..,4.84,18.69805069864,97.50267,1.58192002773285,55.6899572921945,57830,25.7520802218903,1738689,110.710814094775,25.3397577732935,0.603140958545005,6861506,17.8136071610309,8.13944215849008,4.21171171171172,55.73,0.018292620589812,1976723,3068685,26.7277627086041,9.804,..,7892,14.1,16960897540.1129,5.25904817063956,122.617507776139,81.0813476851531,87.379997253418,15.5299997329712,1535,4.05999994277954,13.6099996566772
Iceland,2009,ISL,-7.9783624054085,46763922.0451044,32.3696419744081,3368874353.7164,5341059586.47923,1972185232.76282,27.6797657778808,2208552244.61118,8359212026.34939,25.5048634482635,-20.6694084139326,..,8.34,23.377342085005,99.72259,..,12.1703357604172,18750,0.480769230769231,..,3.17704738154613,..,0.465437224707066,297832,2.97925194066185,..,12.0031298461743,79.14,0.0109638886535244,107072,190165,31.5381179148823,133.082,4.9256708312,..,13.8,1951004054.65311,11.5274423019842,58.2390053432714,145.745980756566,87.7399978637695,16.8199996948242,5,3.38000011444092,7.32999992370605
Ireland,2009,IRL,-6.05945253020644,35043049664.2151,66.3352299943861,62821006303.636,166695531940.522,103874525636.886,7.5336681934059,540847188.771246,282049857150.473,2.15423423499633,-1.70263651379631,..,6.77,17.0255302570558,99.97364,..,89.8617931557646,45939.2,24.9240121580547,1086983,65.8350268544056,39.07073459162,1.34388553349095,2782090,..,..,-4.47810339150477,94.39,0.0150822000831793,976381,2131901,26.4859870871476,120.852,9.7255056646,1919,12.6,103874525636.886,11.9631954912477,75.5496726369201,66.62175035655,82.5,25.5699996948242,7,7.07999992370605,18.2900009155273
Isle of Man,2009,IMN,1.05454583131494,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,434.2,..,..,148.033333333333,..,1.06362034224929,43857,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Italy,2009,ITA,-5.71150838276657,6142374753.37807,38.1193359771299,396261928816.181,506305003564.182,110043074748,25.4150120969109,1760503505.25074,600196110014.774,20.8347242463194,-13.1181650186487,..,4.29,17.36860201,99.17129,..,81.3307662429071,139824,19.0766664059852,10922087,199.836888522173,9.74192498736863,0.627292740575372,40308358,..,..,0.774768131387384,106.98,0.00321258995844426,12084537,22642679,8.24727956813346,400,55.093611272,17003.842,12.4,108177020518.402,10.1601669772348,37.3654819401907,..,75.0299987792969,29.3500003814697,42,6.67000007629395,17.5499992370605
Kazakhstan,2009,KAZ,-0.786442204419629,65089100,19.6580946770851,28919473388.9327,39001200993.0947,10081727604.1619,11.2287364626093,-10083300957.0145,54596821092.2733,18.5369034849766,-15.7000000001223,106.657682237151,3.11044018897928,15.640823165977,99.87726,..,-133.242377450717,2107833,7.19289590527874,2006163,5.96096677408601,15.1141935916875,2.11111246374793,9133481,11.4499975733737,..,7.31607858288583,56.87,0.0653647154331372,577344,3856500,31.6801686925535,14.584,..,14192.2,13.4,9898438104.1619,8.50228881195314,62.0985442812871,..,66.5599975585938,32.2000007629395,3741,5.71999979019165,9.55000019073486
Kosovo,2009,XKX,4.19465198491015,5702068.22585866,37.0842658214214,2551247801.2361,2963865265.85343,412617464.617337,27.9325167227481,-388555746.400993,3134767106.9081,23.4773757490944,2.74891182972129,33.8259726721293,..,10.0977244554189,..,..,24.2029888073773,..,3.80499405469679,..,..,..,..,..,12.4509509411707,4.32365199529742,-2.41026401661228,25.66,..,..,106300,..,..,..,..,12.7,410258482.088721,..,..,..,..,..,..,..,..
Kyrgyz Republic,2009,KGZ,1.65165139562198,5662074,36.8398737267888,2813607242.24189,3559988916.14348,746381673.901579,19.6735072864829,-189644600,3763109520.84913,55.3155841292226,-19.365988136692,91.3533118735775,5.95,10.4392989615077,94.55799,4.79304981231689,58.657746693232,106173,3.37423312883436,..,28.0672575599583,43.5200511307519,1.20446979040125,1899444,16.5698288929991,2.81254297467993,6.83656248105363,8.34,0.255001923023141,17355,498328,5.03034666094534,2.182,..,417,13,737223795.901579,16.8817568675166,100.489071224001,..,60.939998626709,42.1500015258789,2611,..,17.7999992370605
Latvia,2009,LVA,-12.8207490852443,25205434.2204391,24.1861383139442,9293915414.01256,11698655755.1092,2404740341.09651,33.2028906117022,-43651066.407822,11544378814.6547,24.1796495308132,-30.8944250998243,..,4.50767386002111,21.9962018133096,97.69003,0.920769989490509,52.3631945882892,18330,12.5348189415042,..,34.4170376203256,46.3916091908912,-1.68056838595402,1452351,..,..,3.53410672858941,71.68,0.0406979702606496,454714,561650,8.75589102978721,18.375,7.5839431187,1883,12.3,2386539508.07104,16.55710805521,66.3097205011703,..,88.4800033569336,14.5200004577637,787,7.59999990463257,17.4899997711182
Liechtenstein,2009,LIE,-1.86027941888527,..,..,..,..,..,..,..,..,..,..,..,2.53925456269419,20.8618996229313,98.5204,..,..,58.6,..,..,223.26875,..,0.347624915536091,5187,..,..,..,..,..,15983,19600,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Lithuania,2009,LTU,-13.8877533571244,29088375.1425034,20.1494139053116,17008362276.4444,20119552715.6485,3111190439.20415,36.0027151756733,964688371.766734,20283836533.9776,38.2259314235451,-28.6537572632059,..,5.2482897832379,14.4863379039754,99.16689,..,49.8884630262063,26890,8.77659574468085,..,50.4653530115676,24.9448479676996,-1.11931507180531,2114156,..,..,4.4530445651853,57.43,0.0148854168869872,633779,747412,10.6029722979281,7.425,10.4811635317,1767,11.8,2970548643.87979,13.9952443269312,92.9653539621404,30.7436903314364,88.0199966430664,14.8500003814697,496,4.42000007629395,12.1199998855591
Luxembourg,2009,LUX,-5.01426301262075,307324041.679236,18.2816453493744,20048687879.7387,56394109425.6987,36345421545.96,7.08977539125221,17377315210.2142,213583200079.993,5.19877364494704,-9.07344264204441,..,4.27270864221275,17.7360076659127,..,..,97.1960468219026,1307,15.7894736842105,..,193.354334501216,..,2.28128376496061,438935,..,..,0.368041997888919,107.06,0.0106402860557365,156120,263600,10.3198849831672,8369.219,..,275,12.7,36298491546.9449,11.9154728458235,85.6826181140549,..,91.2799987792969,10.0299997329712,..,4.88000011444092,5.78999996185303
Moldova,2009,MDA,-5.88126742717446,10630000,42.8441285157052,2986680000,3707450000,720770000,33.7194944295684,-268740000,3976460000,35.91991897554,-23.5578640315326,64.6579635520023,8.43,15.033459816807,90.03386,..,95.9413394404509,24720,15.818431911967,..,99.7091934417099,45.8905500003274,-0.198873551916492,1221672,26.7991339859452,14.9425,-0.0627185967109989,29.02,0.0377954515813812,187665,1138729,5.84238897119139,0.686,..,1157.1,12.2,685700000,15.1859848619943,83.8508204304422,27.6322264363496,70.629997253418,33.2999992370605,5928,..,..
Monaco,2009,MCO,-12.2141209244528,..,..,..,..,..,..,..,..,..,..,..,1.31,..,..,..,..,..,..,..,17376.9116921559,..,1.03592382243097,35223,..,..,..,..,..,13400,43179,..,0,..,..,..,..,..,..,..,..,..,..,..,..
Montenegro,2009,MNE,-5.99697748606286,11628956.4491593,14.7615130845334,2248422275.56129,2715754111.26871,467331835.707425,10.5407800407413,-1504474110.80253,2935470121.59947,30.6611902641659,-27.768167016773,56.5589409827454,..,9.86183193110983,..,..,39.6726610047107,5140,1.16279069767442,..,45.969814126394,..,0.737783544066644,394521,..,3.81166666666667,3.46672373207794,60.05,0.0137555949553635,59329,171749,23.5667329752781,..,3.5526469381,249,..,452104538.647368,23.7392222270707,64.9383376654956,..,82.9199981689453,22.1800003051758,2578,..,..
Netherlands,2009,NLD,-4.16103849540806,34418549709.5789,64.9731055103156,348431294138.842,486166508679.646,137735214540.804,13.5356553879232,44419429495.3633,740635514698.93,16.3394951286536,-7.80653384381867,..,4.81624021519935,17.2077063922791,..,..,19.1971059559435,19174,17.9099799398195,2058667,490.079691669137,7.40701895806998,1.54638742479771,14263741,..,2.59751666666667,1.18977687021549,62.52,0.0128585094776475,6129000,7256000,28.0004101824062,4520.328,79.8499203413,2886,13.8,137516507323.712,10.9251135354246,107.977495708687,..,85.1699981689453,17.5499992370605,44,3.19000005722046,4.96000003814697
North Macedonia,2009,MKD,-0.541943604567479,20239756.76,57.2783904070198,4313809146.8,5132183412.61834,818374265.818335,12.241656682572,-185527828.146,5378427915.79416,37.150309982803,-12.2587215726213,56.2074825182449,3.26865212268744,20.4131841850762,91.96401,6.61483001708984,42.9020914438351,10130,4.81220657276995,..,81.311300555115,43.8680010450088,0.0826786563644444,1171282,21.2716222361606,7.77269432606176,-0.739633963061138,49.21,0.0126726363691099,232783,437301,3.16455817467611,0,..,699,10.1,784388345.818335,13.2354200832176,82.7613509654577,..,71.9199981689453,30.8899993896484,7921,24.8099994659424,27.6599998474121
Norway,2009,NOR,-2.95858554905377,317624196.874938,36.2966100711041,68125601565.7787,105198579794.113,37072978228.3341,32.6396766330598,1332335634.6921,129748327045.945,22.0999342923381,-10.3135100451317,..,6.38,16.2508247256186,99.15591,0.891610026359558,-594.186786522607,10142.6,3.61648444070648,880780,13.2205484552792,23.1433406205331,1.62847639699914,3805760,2.21609542298246,..,2.19738586853571,57.6,0.00710666371875471,1668231,1770923,19.8169890571773,..,10.496836968,..,14.4,36780926370.1952,8.37971760522492,48.0975205653246,..,91.9199981689453,11.0100002288818,..,1.6599999666214,5
Poland,2009,POL,2.76251923864919,1542000000,41.5108307315974,145466000000,168880000000,23414000000,31.4598103698642,-8094000000,192248000000,17.8440249423422,-12.587029895737,..,4.9,12.0452916807512,94.21491,5.22798013687134,28.6019234946783,156190,15.8921773723379,1698836,124.564460624265,7.29928550325934,-0.115663063732749,23274004,11.6080914953779,..,3.79539242483406,48.69,0.00470956957812121,5596000,8493453,7.07864399331018,55.475,25.2912178179,19764,12.4,23012000000,7.91308075190413,65.0301587944826,..,77.2600021362305,24.8899993896484,2052,4.71999979019165,10.1099996566772
Portugal,2009,PRT,-3.21438996722308,562301734.08391,31.7630688273962,69267518437.3785,83486175018.97,14217353721.2731,26.5896787483532,-1950404506.94424,107808903106.872,24.0622285589706,-9.49540147803393,..,5.47,17.5168881413559,99.37086,..,79.7744867527795,36955.8,7.18055032039201,4080090,115.386472322306,44.1432134097,1.10940421451619,6337144,..,..,-0.83553002150417,192,0.0124823889732527,1911827,4328295,4.79443968345745,313.533,44.9680091542,2842,12,14081366691.0381,14.4645685906722,47.3597333204401,..,75.9700012207031,26.3299999237061,30,6.46999979019165,11.1999998092651
Romania,2009,ROU,-4.72698260115841,367264725.022367,61.8449467181328,46302121607.5964,56799143667.9841,10497022060.3877,13.9936012433434,-4624155850.09678,61332223308.6137,26.7135729629865,-20.8080008489285,66.0956314815183,3.75,16.504450895072,96.45166,1.9279500246048,18.7610853749871,136210,10.6880082612624,1893644,88.5311962096844,17.3142141402896,-0.588839831638732,10936933,27.7967246844701,11.9866666666667,5.58742004264392,56.51,0.0428974311440447,2812600,4730000,10.3675431470797,3.987,18.8366207986,10776,11.8,10379280475.9016,9.1125836176583,54.5025764634172,28.2314505483576,67.2200012207031,33.0400009155273,4350,4.34999990463257,13.9399995803833
Russian Federation,2009,RUS,-7.8277499767233,3987050000,49.480265959189,183924120000,247320870000,63396750000,33.1546175474295,6697430000,320459780000,14.7387366071605,-30.4000760238268,34.3613620854826,3.55636338032634,11.7848523723729,96.37231,1.48180997371674,-84.0216287101572,2154940,9.71056449989239,30888374,8.71872030491785,10.7614307170575,0.089873956739492,105149987,11.2533608115305,8.58333333333333,11.6473295764118,72.43,0.0414656522086525,12900000,45379601,9.63407603493197,2305.548,26.419423631,85281,10.5,61208690000,15.9782298901051,40.5016411730327,8.69786633508402,91.4300003051758,9.60000038146973,109452,5.28000020980835,14.0799999237061
San Marino,2009,SMR,-11.4584912391916,..,..,..,..,..,..,..,..,..,..,..,3.55096,..,..,..,..,10,..,..,513.75,..,1.52998723212208,29440,..,0.9625,2.19959237046011,..,..,5446,20428,..,..,..,..,..,..,..,..,46.6074007324324,..,..,..,10.3000001907349,..
Serbia,2009,SRB,-2.34092820223162,143654258.477765,52.7370365551779,14798878351.4062,18274800022.2912,3475921670.885,27.6170541061366,-2882297554.26925,19627532829.5623,26.9158323743015,-21.8862818441035,75.982852578504,4.7,16.1936552245785,96.54704,3.02653002738953,32.7270925376238,35180,5.49594920078826,1329650,83.7046306883147,33.1604049327739,0.00513760680910835,4009752,39.9171832755324,15.3866666666667,8.1169509223808,45.12,0.0188891325116631,590586,3105728,..,2.011,..,3809,..,3427721059.1307,..,54.0089388298783,..,67.8600006103516,34.1699981689453,195625,10.6800003051758,21.6100006103516
Slovak Republic,2009,SVK,-5.58143723800742,189975719.548952,30.9069887079761,53241486125.8602,61102626560.8925,7861140435.03232,26.7158936416756,972626959.187675,65665436988.4478,22.7998587244168,-18.9079858199453,..,3.8,19.5324443832643,85.77593,3.79300999641418,64.5255584287033,19300,19.9386503067485,..,112.006778956124,14.0577069953104,-0.141099022585442,2960369,..,..,1.61510464058236,50.08,0.00847429911377252,775056,1219645,6.3404844833465,0.225,..,3622.686,14.4,7787614349.82942,6.91580457889854,125.300752872355,42.0443650670806,84.3300018310547,20.3600006103516,336,4.6399998664856,12.5500001907349
Slovenia,2009,SVN,-8.38031959236709,289021239.911803,30.1311515490265,23330880308.2752,28251541322.7954,4920661014.52011,32.3755863000038,686974773.56347,30142787465.4471,18.5541848675765,-18.3853646077796,..,5.22,19.7427025344064,99.29284,0.716120004653931,47.7669733819968,6251.2,11.7063492063492,..,101.245371243634,..,1.33202331472936,1069460,..,..,0.83926224679384,101.71,0.01166951488994,449030,939107,6.8476440673742,2.833,18.456800546,1228,14.6,4794079413.86909,8.89383420642203,104.185010696665,..,83.8099975585938,19.0300006866455,35,3.32999992370605,7.46000003814697
Spain,2009,ESP,-4.61187170615491,..,..,288498971675.09,357398106941.016,68899135265.926,24.8855013227874,6148530893.84228,457897879210.142,..,-18.3026771079949,..,4.44,14.9565800659589,..,..,76.2369193504333,279700,9.27502626716423,10571806,92.9750651746681,15.7312924325836,1.18537790236856,36260460,..,..,-0.287813083535237,152.1,0.00641155921060043,9800597,20244312,6.47221443053694,1079.589,72.8800010956,15044,12.2,68899135265.926,11.3047367300631,34.9021421526248,48.3646992967727,83.1699981689453,20.1100006103516,34,10.4499998092651,18.0900001525879
